"transaction_id","agent_id","agent_role"
1,18,"Landlord Agent"
1,6,"Tenant Agent"
2,12,"Landlord Agent"
2,18,"Tenant Agent"
3,1,"Landlord Agent"
3,19,"Tenant Agent"
4,5,"Landlord Agent"
4,11,"Tenant Agent"
5,4,"Buyer Agent"
5,14,"Seller Agent"
6,12,"Buyer Agent"
6,6,"Seller Agent"
7,5,"Landlord Agent"
7,9,"Tenant Agent"
8,18,"Buyer Agent"
8,1,"Seller Agent"
9,9,"Buyer Agent"
9,17,"Seller Agent"
10,1,"Landlord Agent"
10,7,"Tenant Agent"
11,7,"Buyer Agent"
11,18,"Seller Agent"
12,6,"Buyer Agent"
12,12,"Seller Agent"
13,7,"Buyer Agent"
13,18,"Seller Agent"
14,11,"Landlord Agent"
14,17,"Tenant Agent"
15,13,"Landlord Agent"
15,7,"Tenant Agent"
16,16,"Buyer Agent"
16,10,"Seller Agent"
17,14,"Buyer Agent"
17,4,"Seller Agent"
18,19,"Buyer Agent"
18,18,"Seller Agent"
19,2,"Buyer Agent"
19,14,"Seller Agent"
20,5,"Landlord Agent"
20,9,"Tenant Agent"
21,11,"Landlord Agent"
21,3,"Tenant Agent"
22,9,"Landlord Agent"
22,11,"Tenant Agent"
23,17,"Landlord Agent"
23,11,"Tenant Agent"
24,16,"Landlord Agent"
24,10,"Tenant Agent"
25,4,"Landlord Agent"
25,14,"Tenant Agent"
26,4,"Buyer Agent"
26,20,"Seller Agent"
27,1,"Landlord Agent"
27,7,"Tenant Agent"
28,20,"Landlord Agent"
28,2,"Tenant Agent"
29,12,"Landlord Agent"
29,1,"Tenant Agent"
30,17,"Buyer Agent"
30,15,"Seller Agent"
31,17,"Landlord Agent"
31,11,"Tenant Agent"
32,1,"Buyer Agent"
32,19,"Seller Agent"
33,17,"Buyer Agent"
33,15,"Seller Agent"
34,18,"Landlord Agent"
34,19,"Tenant Agent"
35,8,"Landlord Agent"
35,10,"Tenant Agent"
36,15,"Buyer Agent"
36,17,"Seller Agent"
37,10,"Landlord Agent"
37,14,"Tenant Agent"
38,10,"Landlord Agent"
38,8,"Tenant Agent"
39,14,"Landlord Agent"
39,20,"Tenant Agent"
40,15,"Landlord Agent"
40,17,"Tenant Agent"
41,13,"Buyer Agent"
41,7,"Seller Agent"
42,2,"Landlord Agent"
42,10,"Tenant Agent"
43,7,"Buyer Agent"
43,13,"Seller Agent"
44,20,"Landlord Agent"
44,16,"Tenant Agent"
45,12,"Landlord Agent"
45,13,"Tenant Agent"
46,3,"Buyer Agent"
46,5,"Seller Agent"
47,11,"Landlord Agent"
47,17,"Tenant Agent"
48,2,"Buyer Agent"
48,14,"Seller Agent"
49,3,"Buyer Agent"
49,9,"Seller Agent"
50,13,"Landlord Agent"
50,18,"Tenant Agent"
51,20,"Landlord Agent"
51,16,"Tenant Agent"
52,13,"Landlord Agent"
52,6,"Tenant Agent"
53,13,"Landlord Agent"
53,1,"Tenant Agent"
54,7,"Landlord Agent"
54,12,"Tenant Agent"
55,2,"Landlord Agent"
55,16,"Tenant Agent"
56,14,"Landlord Agent"
56,2,"Tenant Agent"
57,4,"Buyer Agent"
57,8,"Seller Agent"
58,9,"Buyer Agent"
58,11,"Seller Agent"
59,13,"Buyer Agent"
59,12,"Seller Agent"
60,9,"Buyer Agent"
60,3,"Seller Agent"
61,11,"Landlord Agent"
61,9,"Tenant Agent"
62,18,"Landlord Agent"
62,12,"Tenant Agent"
63,12,"Buyer Agent"
63,13,"Seller Agent"
64,3,"Buyer Agent"
64,5,"Seller Agent"
65,10,"Landlord Agent"
65,2,"Tenant Agent"
66,17,"Buyer Agent"
66,3,"Seller Agent"
67,10,"Buyer Agent"
67,16,"Seller Agent"
68,11,"Landlord Agent"
68,3,"Tenant Agent"
69,2,"Buyer Agent"
69,16,"Seller Agent"
70,4,"Buyer Agent"
70,16,"Seller Agent"
71,17,"Buyer Agent"
71,11,"Seller Agent"
72,2,"Landlord Agent"
72,20,"Tenant Agent"
73,14,"Buyer Agent"
73,10,"Seller Agent"
74,8,"Buyer Agent"
74,20,"Seller Agent"
75,14,"Landlord Agent"
75,16,"Tenant Agent"
76,1,"Landlord Agent"
76,6,"Tenant Agent"
77,3,"Landlord Agent"
77,15,"Tenant Agent"
78,7,"Landlord Agent"
78,19,"Tenant Agent"
79,20,"Landlord Agent"
79,8,"Tenant Agent"
80,19,"Landlord Agent"
80,13,"Tenant Agent"
81,14,"Landlord Agent"
81,10,"Tenant Agent"
82,2,"Landlord Agent"
82,20,"Tenant Agent"
83,18,"Buyer Agent"
83,19,"Seller Agent"
84,11,"Landlord Agent"
84,15,"Tenant Agent"
85,3,"Landlord Agent"
85,17,"Tenant Agent"
86,10,"Landlord Agent"
86,20,"Tenant Agent"
87,10,"Landlord Agent"
87,20,"Tenant Agent"
88,2,"Buyer Agent"
88,14,"Seller Agent"
89,16,"Buyer Agent"
89,4,"Seller Agent"
90,15,"Landlord Agent"
90,11,"Tenant Agent"
91,20,"Landlord Agent"
91,8,"Tenant Agent"
92,1,"Buyer Agent"
92,7,"Seller Agent"
93,13,"Buyer Agent"
93,7,"Seller Agent"
94,3,"Landlord Agent"
94,11,"Tenant Agent"
95,11,"Buyer Agent"
95,5,"Seller Agent"
96,19,"Buyer Agent"
96,7,"Seller Agent"
97,3,"Buyer Agent"
97,5,"Seller Agent"
98,12,"Buyer Agent"
98,1,"Seller Agent"
99,9,"Buyer Agent"
99,17,"Seller Agent"
100,14,"Buyer Agent"
100,10,"Seller Agent"
101,1,"Landlord Agent"
101,19,"Tenant Agent"
102,1,"Landlord Agent"
102,13,"Tenant Agent"
103,5,"Buyer Agent"
103,11,"Seller Agent"
104,12,"Landlord Agent"
104,18,"Tenant Agent"
105,6,"Landlord Agent"
105,1,"Tenant Agent"
106,16,"Buyer Agent"
106,10,"Seller Agent"
107,6,"Buyer Agent"
107,18,"Seller Agent"
108,18,"Landlord Agent"
108,13,"Tenant Agent"
109,19,"Landlord Agent"
109,13,"Tenant Agent"
110,3,"Landlord Agent"
110,5,"Tenant Agent"
111,4,"Landlord Agent"
111,8,"Tenant Agent"
112,6,"Landlord Agent"
112,13,"Tenant Agent"
113,6,"Buyer Agent"
113,7,"Seller Agent"
114,16,"Landlord Agent"
114,20,"Tenant Agent"
115,4,"Buyer Agent"
115,2,"Seller Agent"
116,10,"Landlord Agent"
116,4,"Tenant Agent"
117,19,"Buyer Agent"
117,1,"Seller Agent"
118,19,"Buyer Agent"
118,13,"Seller Agent"
119,2,"Buyer Agent"
119,4,"Seller Agent"
120,15,"Buyer Agent"
120,11,"Seller Agent"
121,3,"Buyer Agent"
121,5,"Seller Agent"
122,2,"Buyer Agent"
122,14,"Seller Agent"
123,5,"Landlord Agent"
123,9,"Tenant Agent"
124,9,"Landlord Agent"
124,11,"Tenant Agent"
125,16,"Landlord Agent"
125,8,"Tenant Agent"
126,20,"Buyer Agent"
126,8,"Seller Agent"
127,19,"Buyer Agent"
127,1,"Seller Agent"
128,11,"Landlord Agent"
128,17,"Tenant Agent"
129,7,"Buyer Agent"
129,12,"Seller Agent"
130,2,"Landlord Agent"
130,16,"Tenant Agent"
131,2,"Landlord Agent"
131,16,"Tenant Agent"
132,4,"Buyer Agent"
132,20,"Seller Agent"
133,14,"Landlord Agent"
133,8,"Tenant Agent"
134,2,"Buyer Agent"
134,16,"Seller Agent"
135,10,"Buyer Agent"
135,14,"Seller Agent"
136,12,"Landlord Agent"
136,19,"Tenant Agent"
137,8,"Landlord Agent"
137,14,"Tenant Agent"
138,14,"Landlord Agent"
138,10,"Tenant Agent"
139,14,"Landlord Agent"
139,2,"Tenant Agent"
140,20,"Buyer Agent"
140,16,"Seller Agent"
141,19,"Buyer Agent"
141,1,"Seller Agent"
142,19,"Landlord Agent"
142,18,"Tenant Agent"
143,7,"Buyer Agent"
143,18,"Seller Agent"
144,6,"Buyer Agent"
144,1,"Seller Agent"
145,3,"Landlord Agent"
145,15,"Tenant Agent"
146,20,"Landlord Agent"
146,10,"Tenant Agent"
147,10,"Buyer Agent"
147,14,"Seller Agent"
148,10,"Landlord Agent"
148,14,"Tenant Agent"
149,4,"Landlord Agent"
149,2,"Tenant Agent"
150,7,"Landlord Agent"
150,13,"Tenant Agent"
151,1,"Landlord Agent"
151,7,"Tenant Agent"
152,17,"Landlord Agent"
152,3,"Tenant Agent"
153,12,"Landlord Agent"
153,13,"Tenant Agent"
154,5,"Buyer Agent"
154,17,"Seller Agent"
155,10,"Landlord Agent"
155,20,"Tenant Agent"
156,2,"Landlord Agent"
156,10,"Tenant Agent"
157,2,"Buyer Agent"
157,10,"Seller Agent"
158,16,"Landlord Agent"
158,20,"Tenant Agent"
159,6,"Landlord Agent"
159,12,"Tenant Agent"
160,17,"Landlord Agent"
160,5,"Tenant Agent"
161,2,"Landlord Agent"
161,20,"Tenant Agent"
162,2,"Buyer Agent"
162,10,"Seller Agent"
163,16,"Landlord Agent"
163,10,"Tenant Agent"
164,19,"Buyer Agent"
164,6,"Seller Agent"
165,10,"Buyer Agent"
165,2,"Seller Agent"
166,11,"Landlord Agent"
166,3,"Tenant Agent"
167,6,"Landlord Agent"
167,1,"Tenant Agent"
168,5,"Buyer Agent"
168,9,"Seller Agent"
169,6,"Buyer Agent"
169,19,"Seller Agent"
170,5,"Buyer Agent"
170,3,"Seller Agent"
171,4,"Buyer Agent"
171,8,"Seller Agent"
172,5,"Buyer Agent"
172,11,"Seller Agent"
173,10,"Landlord Agent"
173,16,"Tenant Agent"
174,1,"Buyer Agent"
174,13,"Seller Agent"
175,18,"Buyer Agent"
175,7,"Seller Agent"
176,15,"Landlord Agent"
176,5,"Tenant Agent"
177,17,"Landlord Agent"
177,9,"Tenant Agent"
178,11,"Buyer Agent"
178,15,"Seller Agent"
179,2,"Landlord Agent"
179,8,"Tenant Agent"
180,12,"Landlord Agent"
180,18,"Tenant Agent"
181,13,"Landlord Agent"
181,18,"Tenant Agent"
182,6,"Landlord Agent"
182,12,"Tenant Agent"
183,1,"Landlord Agent"
183,6,"Tenant Agent"
184,11,"Landlord Agent"
184,3,"Tenant Agent"
185,6,"Buyer Agent"
185,13,"Seller Agent"
186,11,"Landlord Agent"
186,3,"Tenant Agent"
187,12,"Landlord Agent"
187,13,"Tenant Agent"
188,12,"Landlord Agent"
188,19,"Tenant Agent"
189,19,"Landlord Agent"
189,7,"Tenant Agent"
190,3,"Landlord Agent"
190,17,"Tenant Agent"
191,17,"Buyer Agent"
191,11,"Seller Agent"
192,16,"Landlord Agent"
192,10,"Tenant Agent"
193,12,"Buyer Agent"
193,7,"Seller Agent"
194,9,"Landlord Agent"
194,5,"Tenant Agent"
195,3,"Landlord Agent"
195,15,"Tenant Agent"
196,16,"Buyer Agent"
196,14,"Seller Agent"
197,1,"Buyer Agent"
197,7,"Seller Agent"
198,14,"Landlord Agent"
198,8,"Tenant Agent"
199,16,"Buyer Agent"
199,14,"Seller Agent"
200,17,"Buyer Agent"
200,9,"Seller Agent"
201,18,"Landlord Agent"
201,19,"Tenant Agent"
202,7,"Landlord Agent"
202,13,"Tenant Agent"
203,17,"Buyer Agent"
203,3,"Seller Agent"
204,2,"Landlord Agent"
204,14,"Tenant Agent"
205,19,"Buyer Agent"
205,7,"Seller Agent"
206,15,"Landlord Agent"
206,17,"Tenant Agent"
207,5,"Landlord Agent"
207,17,"Tenant Agent"
208,18,"Landlord Agent"
208,12,"Tenant Agent"
209,15,"Buyer Agent"
209,9,"Seller Agent"
210,5,"Landlord Agent"
210,3,"Tenant Agent"
211,18,"Buyer Agent"
211,19,"Seller Agent"
212,2,"Buyer Agent"
212,16,"Seller Agent"
213,16,"Landlord Agent"
213,10,"Tenant Agent"
214,3,"Landlord Agent"
214,17,"Tenant Agent"
215,7,"Landlord Agent"
215,12,"Tenant Agent"
216,1,"Landlord Agent"
216,19,"Tenant Agent"
217,19,"Landlord Agent"
217,12,"Tenant Agent"
218,9,"Buyer Agent"
218,17,"Seller Agent"
219,14,"Landlord Agent"
219,4,"Tenant Agent"
220,9,"Landlord Agent"
220,17,"Tenant Agent"
221,11,"Landlord Agent"
221,17,"Tenant Agent"
222,4,"Buyer Agent"
222,14,"Seller Agent"
223,5,"Landlord Agent"
223,3,"Tenant Agent"
224,15,"Buyer Agent"
224,9,"Seller Agent"
225,13,"Landlord Agent"
225,7,"Tenant Agent"
226,17,"Buyer Agent"
226,15,"Seller Agent"
227,7,"Landlord Agent"
227,18,"Tenant Agent"
228,8,"Landlord Agent"
228,10,"Tenant Agent"
